id,sequence_id,formation_id,question_text,options_jsonb
"07c7b6a6-f0f0-419d-a9c3-59e5e1f41636","64798196-42f9-43a7-b3f0-181fee315257","f9faa376-9bb0-4b19-ae0a-a6ebfa13ecb9","Associez chaque produit du kit ICON® à sa fonction principale dans le protocole d'érosion/infiltration.","{""pairs"": [{""id"": ""1"", ""left"": ""Icon-Etch (Acide chlorhydrique 15%)"", ""right"": ""Crée des microporosités pour ouvrir l'accès à la lésion""}, {""id"": ""2"", ""left"": ""Icon-Dry (Éthanol)"", ""right"": ""Simule le résultat final et déshydrate la lésion""}, {""id"": ""3"", ""left"": ""Icon-Infiltrant (Résine fluide)"", ""right"": ""Infiltre par capillarité les porosités de l'émail""}]}"
"094290d2-7a27-4a82-8bb3-24461a76ee72","e676063d-9551-4e03-849a-f1728c9d1c3e","99b270dd-c411-40e0-b865-1930e59464f1","La pédodontie exige une grande flexibilité. Associez chaque tranche d'âge à la stratégie de communication optimale qui lui correspond.","{""pairs"": [{""left"": ""1 à 2 ans"", ""right"": ""Privilégier un contact sécurisant en présence permanente des parents et anticiper la peur face à tout élément nouveau.""}, {""left"": ""2 à 4 ans"", ""right"": ""Contourner la période d'opposition en privilégiant massivement les gestes et les images, la communication verbale étant insuffisante.""}, {""left"": ""4 à 6 ans"", ""right"": ""Utiliser la méthode Dire-Montrer-Faire et stimuler l'imaginaire, car la notion du temps et de l'espace est encore très restreinte.""}, {""left"": ""6 à 11 ans"", ""right"": ""Cadrer avec fermeté et bienveillance face à une potentielle indiscipline liée à la scolarisation et la recherche d'indépendance.""}]}"
"391d2a85-d93e-41a3-a9bb-cd1629ef26ad","404edf57-d890-47a2-ba88-5aec9f919815","f9faa376-9bb0-4b19-ae0a-a6ebfa13ecb9","Associez chaque stade de l'indice de Horowitz (Tooth Surface Index of Fluorosis) à sa description clinique.","{""pairs"": [{""id"": ""1"", ""left"": ""Stade 1"", ""right"": ""Coiffe neigeuse limitée au sommet des cuspides""}, {""id"": ""2"", ""left"": ""Stade 3"", ""right"": ""Aspect en parchemin blanc sur au moins 2/3 de la surface""}, {""id"": ""3"", ""left"": ""Stade 4"", ""right"": ""Plages de coloration marron clair à foncé""}, {""id"": ""4"", ""left"": ""Stade 5"", ""right"": ""Piqueté discret avec coloration possible""}]}"
"3ba615c3-7de6-4a4f-87f3-99dbe5c90eaa","e2726260-b005-4498-a5d2-a5ec11ad42ce","f9faa376-9bb0-4b19-ae0a-a6ebfa13ecb9","Associez chaque type de dyschromie extrinsèque à son agent causal principal.","{""pairs"": [{""id"": ""1"", ""left"": ""Black stains"", ""right"": ""Bactéries Actinomyces""}, {""id"": ""2"", ""left"": ""Colorations brun foncé"", ""right"": ""Tanins""}, {""id"": ""3"", ""left"": ""Bandes vertes adhérentes"", ""right"": ""Champignons (Penicillium)""}, {""id"": ""4"", ""left"": ""Dépôts brunâtres peu adhérents"", ""right"": ""Chlorhexidine""}]}"
"4206690d-d52f-4954-b241-2b5cd0919471","4ea23554-ded3-4490-8d59-90596a9b5005","99b270dd-c411-40e0-b865-1930e59464f1","Associez chacune des 4 pratiques digitales à son statut réglementaire selon le Code de déontologie des chirurgiens-dentistes et le RGPD.","{""pairs"": [{""left"": ""Afficher sur son site web une sélection de témoignages positifs de patients satisfaits de leur sourire."", ""right"": ""Strictement interdit par l'article R.4127-215-1 : interdiction de faire appel à des témoignages de tiers.""}, {""left"": ""Envoyer le dossier médical d'un patient à un confrère spécialiste via une adresse email non cryptée (Gmail)."", ""right"": ""Interdit par l'article R.4127-208 et le RGPD : défaut de protection des données informatiques sensibles.""}, {""left"": ""Répondre à un avis Google négatif par un message type demandant au patient de contacter le secrétariat."", ""right"": ""Pratique conforme au cadre déontologique, permettant de préserver son e-réputation tout en respectant le secret médical.""}, {""left"": ""Payer pour une campagne Google Ads afin que le cabinet apparaisse en premier lors d'une recherche « Urgence dentiste »."", ""right"": ""Strictement interdit par l'article R.4127-217 : interdiction du référencement numérique payant prioritaire.""}]}"
"518dddc1-0999-4e04-b4a1-32f80cadbcfa","f1df1fbd-4965-4571-b5c7-db4ddf976602","719d272e-f6be-47e6-afdb-06d78bc6c6e1","Associez chaque situation clinique à la restauration la plus appropriée.","{""pairs"": [{""id"": ""1"", ""left"": ""Dommage sévère, structure affaiblie"", ""right"": ""Couronne""}, {""id"": ""2"", ""left"": ""Dommage modéré, parois saines"", ""right"": ""Onlay""}, {""id"": ""3"", ""left"": ""Carie interproximale limitée"", ""right"": ""Obturation directe""}, {""id"": ""4"", ""left"": ""Recouvrement complet de toutes les cuspides"", ""right"": ""Overlay""}]}"
"8cc428fa-6a3c-4ad8-a2d7-def041014848","4f97d2c5-392d-4ab7-beb9-ab3a81a7b115","99b270dd-c411-40e0-b865-1930e59464f1","La loi de 2005 impose une accessibilité relationnelle et informationnelle, pas seulement architecturale. Associez chaque type de handicap à l'adaptation de communication prioritaire en cabinet dentaire.","{""pairs"": [{""left"": ""Handicap moteur (Paralysie Cérébrale / IMC)"", ""right"": ""Éviter d'imposer une position standard ; accompagner les mouvements spastiques sans les bloquer ; traiter dans le fauteuil roulant si le transfert est impossible.""}, {""left"": ""Handicap sensoriel auditif (Sourd / Malentendant)"", ""right"": ""Retirer son masque pour la lecture labiale, bien éclairer son visage, et éteindre les prothèses auditives avant d'utiliser la turbine pour éviter l'effet Larsen.""}, {""left"": ""Handicap sensoriel visuel (Aveugle / Malvoyant)"", ""right"": ""Annoncer verbalement chaque étape avant de toucher le patient, utiliser le retour tactile (main sur l'épaule), et décrire précisément les sensations à venir.""}, {""left"": ""Handicap cognitif (TSA / Trisomie 21)"", ""right"": ""Minimiser l'environnement sensoriel, utiliser un langage littéral sans métaphores, et s'appuyer sur la méthode Dire-Montrer-Faire couplée à des pictogrammes.""}]}"
"b55bd84f-b8dc-4285-8d24-0de137511594","8d254259-1739-4524-82cf-06af48d93999","99b270dd-c411-40e0-b865-1930e59464f1","Associez chacun des 4 profils de patients à la stratégie de communication optimale qui lui correspond.","{""pairs"": [{""left"": ""Patient expert"", ""right"": ""Ne pas rejeter ses recherches, les corriger avec respect et l'impliquer dans la décision médicale partagée.""}, {""left"": ""Patient passif"", ""right"": ""Stimuler son implication par des questions ouvertes et vérifier la compréhension avec le Teach-back.""}, {""left"": ""Patient anxieux"", ""right"": ""Structurer la séance avec la méthode Dire-Montrer-Faire et instaurer un signal d'arrêt clair.""}, {""left"": ""Patient méfiant"", ""right"": ""Ne pas se défendre agressivement ; utiliser la transparence et la preuve par l'image (caméra intra-orale, radiographies).""}]}"
"ef47e86e-2dd2-49be-a0fe-4987de65d205","9b78309c-ede0-402b-82c8-f369a7140e5a","f9faa376-9bb0-4b19-ae0a-a6ebfa13ecb9","Associez chaque pathologie génétique à son tissu principalement affecté et à son signe radiographique caractéristique.","{""pairs"": [{""id"": ""1"", ""left"": ""Amélogenèse imparfaite"", ""right"": ""Émail / Contraste émail-dentine faible ou normal""}, {""id"": ""2"", ""left"": ""Dentinogenèse imparfaite"", ""right"": ""Dentine / Oblitération pulpaire""}, {""id"": ""3"", ""left"": ""Dysplasie dentinaire type II"", ""right"": ""Dentine / Chambres pulpaires très larges (en chardon)""}]}"
"f07f4975-dd6a-4bef-b3ca-f8255fa8ea2c","e06e82ab-daf2-49b9-85cd-12c2a2e54214","f9faa376-9bb0-4b19-ae0a-a6ebfa13ecb9","Associez chaque situation clinique à la stratégie de gestion des sensibilités la plus appropriée.","{""pairs"": [{""id"": ""1"", ""left"": ""Sensibilités faibles apparaissant au 2ème jour"", ""right"": ""Passage à un dentifrice désensibilisant""}, {""id"": ""2"", ""left"": ""Sensibilités préexistantes importantes"", ""right"": ""Pré-traitement de 15 jours au nitrate de potassium""}, {""id"": ""3"", ""left"": ""Sensibilités modérées mais systématiques au 4ème jour"", ""right"": ""Pause d'un jour entre les applications, avec gel de KNO3""}, {""id"": ""4"", ""left"": ""Sensibilités intenses et imprévisibles"", ""right"": ""Recherche du seuil individuel de temps de port""}]}"
